ASIAN          ;NGUYEN                        
ASIAN          ;DEGUZMAN                      
ASIAN          ;YUEN                          
ASIAN          ;MOON                          
ASIAN          ;FANG                          
ASIAN          ;YEUNG                         
ASIAN          ;KUO                           
ASIAN          ;RIVERA                        
ASIAN          ;SON                           
ASIAN          ;RAO                           
ASIAN          ;GONZALES                      
ASIAN          ;AHMAD                         
ASIAN          ;MOY                           
ASIAN          ;GUO                           
ASIAN          ;PANG                          
ASIAN          ;SO                            
ASIAN          ;YEH                           
ASIAN          ;PEREZ                         
ASIAN          ;AQUINO                        
ASIAN          ;GILL                          
ASIAN          ;REDDY                         
ASIAN          ;TSANG                         
ASIAN          ;WILLIAMS                      
ASIAN          ;BROWN                         
ASIAN          ;WEI                           
ASIAN          ;GEORGE                        
ASIAN          ;SATO                          
ASIAN          ;VILLANUEVA                    
ASIAN          ;FENG                          
ASIAN          ;TA                            
ASIAN          ;SAECHAO                       
ASIAN          ;LIAO                          
ASIAN          ;JOSEPH                        
ASIAN          ;MALIK                         
ASIAN          ;LUM                           
ASIAN          ;DELEON                        
ASIAN          ;CASTILLO                      
ASIAN          ;TOM                           
ASIAN          ;JAIN                          
ASIAN          ;LEW                           
ASIAN          ;JANG                          
ASIAN          ;HUNG                          
ASIAN          ;FU                            
ASIAN          ;WATANABE                      
ASIAN          ;FAN                           
ASIAN          ;AU                            
ASIAN          ;HSIEH                         
ASIAN          ;AMIN                          
ASIAN          ;GAO                           
ASIAN          ;YIP                           
ASIAN          ;PHUNG                         
ASIAN          ;CHING                         
ASIAN          ;YUAN                          
ASIAN          ;SUNG                          
ASIAN          ;TSE                           
ASIAN          ;SUH                           
ASIAN          ;LUI                           
ASIAN          ;CASTRO                        
ASIAN          ;PENG                          
ASIAN          ;CHI                           
ASIAN          ;GEE                           
ASIAN          ;YIM                           
ASIAN          ;JIN                           
ASIAN          ;AN                            
ASIAN          ;HUA                           
ASIAN          ;KAO                           
ASIAN          ;ABRAHAM                       
ASIAN          ;VAN                           
ASIAN          ;HUI                           
ASIAN          ;JOSHI                         
ASIAN          ;KWONG                         
ASIAN          ;LUO                           
ASIAN          ;PRASAD                        
ASIAN          ;MARTIN                        
ASIAN          ;JONES                         
ASIAN          ;CHOWDHURY                     
ASIAN          ;DOMINGO                       
ASIAN          ;MILLER                        
ASIAN          ;PARIKH                        
ASIAN          ;XIE                           
ASIAN          ;SHI                           
ASIAN          ;RODRIGUEZ                     
ASIAN          ;MARTINEZ                      
ASIAN          ;TORRES                        
ASIAN          ;DIEP                          
ASIAN          ;YE                            
ASIAN          ;HERNANDEZ                     
ASIAN          ;MIN                           
ASIAN          ;BEGUM                         
ASIAN          ;SUZUKI                        
ASIAN          ;HANG                          
ASIAN          ;ISLAM                         
ASIAN          ;SANCHEZ                       
ASIAN          ;QUAN                          
ASIAN          ;LA                            
ASIAN          ;DU                            
ASIAN          ;KWOK                          
ASIAN          ;DAVIS                         
ASIAN          ;YAO                           
ASIAN          ;MEI                           
ASIAN          ;TAKAHASHI                     
ASIAN          ;SYED                          
ASIAN          ;YEN                           
ASIAN          ;LEI                           
ASIAN          ;VARGHESE                      
ASIAN          ;TSENG                         
ASIAN          ;CAI                           
ASIAN          ;CHOY                          
ASIAN          ;NAM                           
ASIAN          ;HOM                           
ASIAN          ;LAW                           
ASIAN          ;SIDDIQUI                      
ASIAN          ;DAVID                         
ASIAN          ;SANTIAGO                      
ASIAN          ;WAN                           
ASIAN          ;LING                          
ASIAN          ;JOHN                          
ASIAN          ;LONG                          
ASIAN          ;YIN                           
ASIAN          ;TOLENTINO                     
ASIAN          ;SHIH                          
ASIAN          ;THACH                         
ASIAN          ;GONG                          
ASIAN          ;GANDHI                        
ASIAN          ;KING                          
ASIAN          ;BAE                           
ASIAN          ;ITO                           
ASIAN          ;DENG                          
ASIAN          ;MATSUMOTO                     
ASIAN          ;RAMIREZ                       
ASIAN          ;GUAN                          
ASIAN          ;SORIANO                       
ASIAN          ;DELROSARIO                    
ASIAN          ;MAO                           
ASIAN          ;YAMADA                        
ASIAN          ;DIZON                         
ASIAN          ;SEO                           
ASIAN          ;POON                          
ASIAN          ;SANDHU                        
ASIAN          ;ANDERSON                      
ASIAN          ;MAK                           
ASIAN          ;LAO                           
ASIAN          ;WILSON                        
ASIAN          ;IM                            
ASIAN          ;ZENG                          
ASIAN          ;TUNG                          
ASIAN          ;CHON                          
ASIAN          ;QURESHI                       
ASIAN          ;SHIM                          
ASIAN          ;KOO                           
ASIAN          ;CHEW                          
ASIAN          ;YOSHIDA                       
ASIAN          ;WEN                           
ASIAN          ;PASCUAL                       
ASIAN          ;JACOB                         
ASIAN          ;PERSAUD                       
ASIAN          ;UNG                           
ASIAN          ;VALDEZ                        
ASIAN          ;FRANCISCO                     
ASIAN          ;KU                            
ASIAN          ;SAITO                         
ASIAN          ;BHATT                         
ASIAN          ;LOW                           
ASIAN          ;YUNG                          
ASIAN          ;KOBAYASHI                     
ASIAN          ;SIU                           
ASIAN          ;TAI                           
ASIAN          ;BHAKTA                        
ASIAN          ;CORPUZ                        
ASIAN          ;WON                           
ASIAN          ;RHEE                          
ASIAN          ;SIM                           
ASIAN          ;ALAM                          
ASIAN          ;DAS                           
ASIAN          ;MAN                           
ASIAN          ;KATO                          
ASIAN          ;MUI                           
ASIAN          ;TON                           
ASIAN          ;KIMURA                        
ASIAN          ;HIGA                          
ASIAN          ;SOK                           
ASIAN          ;NAVARRO                       
ASIAN          ;CHAUDHRY                      
ASIAN          ;CHIEN                         
ASIAN          ;DIAZ                          
ASIAN          ;YOU                           
ASIAN          ;MERCADO                       
ASIAN          ;GUTIERREZ                     
ASIAN          ;KWAK                          
ASIAN          ;GU                            
ASIAN          ;SAM                           
ASIAN          ;YAP                           
ASIAN          ;SIN                           
ASIAN          ;MOHAMMED                      
ASIAN          ;JUN                           
ASIAN          ;NAIR                          
ASIAN          ;RANA                          
ASIAN          ;THOMPSON                      
ASIAN          ;TAYLOR                        
ASIAN          ;CHEA                          
ASIAN          ;LIEU                          
ASIAN          ;ROY                           
ASIAN          ;VONG                          
ASIAN          ;YONG                          
ASIAN          ;MIRANDA                       
ASIAN          ;IQBAL                         
ASIAN          ;GOMEZ                         
ASIAN          ;HOU                           
ASIAN          ;OSHIRO                        
ASIAN          ;XIAO                          
ASIAN          ;TAO                           
ASIAN          ;MEDINA                        
ASIAN          ;SHAIKH                        
ASIAN          ;JEONG                         
ASIAN          ;MORALES                       
ASIAN          ;TING                          
ASIAN          ;GO                            
ASIAN          ;CHUA                          
ASIAN          ;BHATIA                        
ASIAN          ;IGNACIO                       
ASIAN          ;SASAKI                        
ASIAN          ;PAUL                          
ASIAN          ;OCAMPO                        
ASIAN          ;JAVIER                        
ASIAN          ;DHILLON                       
ASIAN          ;TSUI                          
ASIAN          ;MOORE                         
ASIAN          ;HAYASHI                       
ASIAN          ;ZHONG                         
ASIAN          ;PASCUA                        
ASIAN          ;VERMA                         
ASIAN          ;KOH                           
ASIAN          ;MANUEL                        
ASIAN          ;VELASCO                       
ASIAN          ;YAU                           
ASIAN          ;MAR                           
ASIAN          ;FERNANDO                      
ASIAN          ;WHITE                         
ASIAN          ;TENG                          
ASIAN          ;HOSSAIN                       
ASIAN          ;SHETH                         
ASIAN          ;DEJESUS                       
ASIAN          ;SHEIKH                        
ASIAN          ;LOO                           
ASIAN          ;KAM                           
ASIAN          ;DEVERA                        
ASIAN          ;DING                          
ASIAN          ;HASAN                         
ASIAN          ;TRIEU                         
ASIAN          ;ANGELES                       
ASIAN          ;DAI                           
ASIAN          ;DAVE                          
ASIAN          ;YAMAGUCHI                     
ASIAN          ;JIMENEZ                       
ASIAN          ;KUNG                          
ASIAN          ;FERRER                        
ASIAN          ;ANTONIO                       
ASIAN          ;CHUANG                        
ASIAN          ;JOSE                          
ASIAN          ;BANG                          
ASIAN          ;GREWAL                        
ASIAN          ;ESPIRITU                      
ASIAN          ;MURAKAMI                      
ASIAN          ;SIDHU                         
ASIAN          ;SALVADOR                      
ASIAN          ;ENRIQUEZ                      
ASIAN          ;MAHMOOD                       
ASIAN          ;OU                            
ASIAN          ;ARORA                         
ASIAN          ;AGARWAL                       
ASIAN          ;SILVA                         
ASIAN          ;SAKAMOTO                      
ASIAN          ;LEWIS                         
ASIAN          ;NI                            
ASIAN          ;SAMUEL                        
ASIAN          ;SZETO                         
ASIAN          ;HALL                          
ASIAN          ;GONZALEZ                      
ASIAN          ;LAY                           
ASIAN          ;UDDIN                         
ASIAN          ;TRIVEDI                       
ASIAN          ;HASHIMOTO                     
ASIAN          ;SHIMIZU                       
ASIAN          ;CLARK                         
ASIAN          ;UY                            
ASIAN          ;FUJIMOTO                      
ASIAN          ;HAM                           
ASIAN          ;MARQUEZ                       
ASIAN          ;HASSAN                        
ASIAN          ;WENG                          
ASIAN          ;CHAI                          
ASIAN          ;GUERRERO                      
ASIAN          ;IKEDA                         
ASIAN          ;KAN                           
ASIAN          ;AGUILAR                       
ASIAN          ;GIANG                         
ASIAN          ;ASUNCION                      
ASIAN          ;AGUSTIN                       
ASIAN          ;SRINIVASAN                    
ASIAN          ;EVANGELISTA                   
ASIAN          ;MARIANO                       
ASIAN          ;SY                            
ASIAN          ;MISTRY                        
ASIAN          ;CORTEZ                        
ASIAN          ;INOUYE                        
ASIAN          ;HENG                          
ASIAN          ;ANCHETA                       
ASIAN          ;KEO                           
ASIAN          ;HARRIS                        
ASIAN          ;NISHIMURA                     
ASIAN          ;PINEDA                        
ASIAN          ;TSAO                          
ASIAN          ;NAKAGAWA                      
ASIAN          ;LAL                           
ASIAN          ;HSIAO                         
ASIAN          ;DELOSSANTOS                   
ASIAN          ;PAIK                          
ASIAN          ;DELOSREYES                    
ASIAN          ;NELSON                        
ASIAN          ;SAELEE                        
ASIAN          ;SISON                         
ASIAN          ;SINHA                         
ASIAN          ;SARMIENTO                     
ASIAN          ;JACKSON                       
ASIAN          ;ROMERO                        
ASIAN          ;MIRZA                         
ASIAN          ;PERALTA                       
ASIAN          ;YAMASHITA                     
ASIAN          ;KUANG                         
ASIAN          ;CABRERA                       
ASIAN          ;KANESHIRO                     
ASIAN          ;CONCEPCION                    
ASIAN          ;ABE                           
ASIAN          ;MANALO                        
ASIAN          ;MO                            
ASIAN          ;JI                            
ASIAN          ;JO                            
ASIAN          ;SETO                          
ASIAN          ;PANDYA                        
ASIAN          ;MORI                          
ASIAN          ;HAHN                          
ASIAN          ;ANG                           
ASIAN          ;CHACKO                        
ASIAN          ;JEON                          
ASIAN          ;MANN                          
ASIAN          ;FUJII                         
ASIAN          ;ALVAREZ                       
ASIAN          ;PAREKH                        
ASIAN          ;CHANDRA                       
ASIAN          ;MOK                           
ASIAN          ;OKAMOTO                       
ASIAN          ;BHATTI                        
ASIAN          ;KAPOOR                        
ASIAN          ;SHAW                          
ASIAN          ;KULKARNI                      
ASIAN          ;JOO                           
ASIAN          ;MAH                           
ASIAN          ;LOU                           
ASIAN          ;QIU                           
ASIAN          ;ALLEN                         
ASIAN          ;JAMES                         
ASIAN          ;CHAE                          
ASIAN          ;KRISHNAN                      
ASIAN          ;VYAS                          
ASIAN          ;REN                           
ASIAN          ;AKHTAR                        
ASIAN          ;SAKAI                         
ASIAN          ;SAEPHAN                       
ASIAN          ;ROBINSON                      
ASIAN          ;BAKER                         
ASIAN          ;ADAMS                         
ASIAN          ;SHAO                          
ASIAN          ;BANH                          
ASIAN          ;PAI                           
ASIAN          ;LIEN                          
ASIAN          ;GHOSH                         
ASIAN          ;ONO                           
ASIAN          ;ABAD                          
ASIAN          ;JOE                           
ASIAN          ;XIA                           
ASIAN          ;MIYAMOTO                      
ASIAN          ;BAEK                          
ASIAN          ;ACOSTA                        
ASIAN          ;SALAZAR                       
ASIAN          ;TRANG                         
ASIAN          ;DAM                           
ASIAN          ;VALENCIA                      
ASIAN          ;IYER                          
ASIAN          ;NAKANO                        
ASIAN          ;CHOUDHURY                     
ASIAN          ;SAETERN                       
ASIAN          ;ZOU                           
ASIAN          ;HUH                           
ASIAN          ;RUIZ                          
ASIAN          ;MATSUDA                       
ASIAN          ;PHILIP                        
ASIAN          ;SAINI                         
ASIAN          ;WRIGHT                        
ASIAN          ;ALEXANDER                     
ASIAN          ;WALKER                        
ASIAN          ;TRINIDAD                      
ASIAN          ;SOHN                          
ASIAN          ;MENG                          
ASIAN          ;LAN                           
ASIAN          ;SHU                           
ASIAN          ;BAIG                          
ASIAN          ;HILL                          
ASIAN          ;HAQUE                         
ASIAN          ;RASHID                        
ASIAN          ;TIEU                          
ASIAN          ;SUBRAMANIAN                   
ASIAN          ;SCOTT                         
ASIAN          ;ALCANTARA                     
ASIAN          ;RAI                           
ASIAN          ;ROBERTS                       
ASIAN          ;LEGASPI                       
ASIAN          ;PHU                           
ASIAN          ;GUZMAN                        
ASIAN          ;BYUN                          
ASIAN          ;PADILLA                       
ASIAN          ;MALHOTRA                      
ASIAN          ;TIEN                          
ASIAN          ;ANAND                         
ASIAN          ;BAINS                         
ASIAN          ;KARIM                         
ASIAN          ;ZHEN                          
ASIAN          ;SAMSON                        
ASIAN          ;MAEDA                         
ASIAN          ;OGAWA                         
ASIAN          ;SENG                          
ASIAN          ;HYUN                          
ASIAN          ;GALANG                        
ASIAN          ;ANDRES                        
ASIAN          ;SHUM                          
ASIAN          ;OKADA                         
ASIAN          ;KHANG                         
ASIAN          ;BERNARDO                      
ASIAN          ;GABRIEL                       
ASIAN          ;NAIK                          
ASIAN          ;ESTRADA                       
ASIAN          ;MOLINA                        
ASIAN          ;SHUKLA                        
ASIAN          ;AGRAWAL                       
ASIAN          ;ANSARI                        
ASIAN          ;BUTT                          
ASIAN          ;MODI                          
ASIAN          ;THAKKAR                       
ASIAN          ;OTA                           
ASIAN          ;CHEE                          
ASIAN          ;KHANNA                        
ASIAN          ;RAY                           
ASIAN          ;CHAND                         
ASIAN          ;RO                            
ASIAN          ;KAPADIA                       
ASIAN          ;HONDA                         
ASIAN          ;HARADA                        
ASIAN          ;TOY                           
ASIAN          ;CAMPBELL                      
ASIAN          ;ZAMAN                         
ASIAN          ;DANIEL                        
ASIAN          ;QIAN                          
ASIAN          ;LOH                           
ASIAN          ;DHALIWAL                      
ASIAN          ;LUK                           
ASIAN          ;PHILLIPS                      
ASIAN          ;TAMURA                        
ASIAN          ;TAING                         
ASIAN          ;ISHII                         
ASIAN          ;SERRANO                       
ASIAN          ;TIAN                          
ASIAN          ;JU                            
ASIAN          ;MORITA                        
ASIAN          ;CHOPRA                        
ASIAN          ;MONG                          
ASIAN          ;CUI                           
ASIAN          ;PARMAR                        
ASIAN          ;RIZVI                         
ASIAN          ;YAMASAKI                      
ASIAN          ;IP                            
ASIAN          ;SONI                          
ASIAN          ;LUNA                          
ASIAN          ;MOHAN                         
ASIAN          ;CHINN                         
ASIAN          ;MARK                          
ASIAN          ;YING                          
ASIAN          ;FAJARDO                       
ASIAN          ;ROSARIO                       
ASIAN          ;YUE                           
ASIAN          ;RAM                           
ASIAN          ;MERCHANT                      
ASIAN          ;MOHAMED                       
ASIAN          ;AOKI                          
ASIAN          ;FUJITA                        
ASIAN          ;SIMON                         
ASIAN          ;LOWE                          
ASIAN          ;VERGARA                       
ASIAN          ;SUM                           
ASIAN          ;DECASTRO                      
ASIAN          ;AZIZ                          
ASIAN          ;MUN                           
ASIAN          ;HUSAIN                        
ASIAN          ;ORTIZ                         
ASIAN          ;SEN                           
ASIAN          ;HASEGAWA                      
ASIAN          ;ISHIKAWA                      
ASIAN          ;BORJA                         
ASIAN          ;HUR                           
ASIAN          ;ARAKAKI                       
ASIAN          ;GAN                           
ASIAN          ;BAI                           
ASIAN          ;DSOUZA                        
ASIAN          ;RUAN                          
ASIAN          ;MITCHELL                      
ASIAN          ;VIRAY                         
ASIAN          ;PETERSON                      
ASIAN          ;VENTURA                       
ASIAN          ;MIYASHIRO                     
ASIAN          ;PARKER                        
ASIAN          ;MASUDA                        
ASIAN          ;MENON                         
ASIAN          ;HERRERA                       
ASIAN          ;MATHEWS                       
ASIAN          ;DOSHI                         
ASIAN          ;CARTER                        
ASIAN          ;RAZA                          
ASIAN          ;XUE                           
ASIAN          ;SITU                          
ASIAN          ;GREEN                         
ASIAN          ;WADA                          
ASIAN          ;LANG                          
ASIAN          ;MISHRA                        
ASIAN          ;KHUU                          
ASIAN          ;GARG                          
ASIAN          ;SRIVASTAVA                    
ASIAN          ;SETHI                         
ASIAN          ;RYU                           
ASIAN          ;NARAYAN                       
ASIAN          ;NAKAMOTO                      
ASIAN          ;EVANS                         
ASIAN          ;DELAROSA                      
ASIAN          ;CO                            
ASIAN          ;FUKUDA                        
ASIAN          ;CAMACHO                       
ASIAN          ;MATHUR                        
ASIAN          ;LUCAS                         
ASIAN          ;NAKASHIMA                     
ASIAN          ;LUC                           
ASIAN          ;MOHAMMAD                      
ASIAN          ;GOMES                         
ASIAN          ;SAN                           
ASIAN          ;MORRIS                        
ASIAN          ;WHANG                         
ASIAN          ;ENDO                          
ASIAN          ;BRAR                          
ASIAN          ;REHMAN                        
ASIAN          ;FERNANDES                     
ASIAN          ;NGAI                          
ASIAN          ;GOTO                          
ASIAN          ;ZAIDI                         
ASIAN          ;MALLARI                       
ASIAN          ;NAKAYAMA                      
ASIAN          ;NATIVIDAD                     
ASIAN          ;CHAUHAN                       
ASIAN          ;ROSALES                       
ASIAN          ;SEE                           
ASIAN          ;COOK                          
ASIAN          ;LORENZO                       
ASIAN          ;MURPHY                        
ASIAN          ;YOSHIMURA                     
ASIAN          ;CHOO                          
ASIAN          ;PANGILINAN                    
ASIAN          ;NAKATA                        
ASIAN          ;BANERJEE                      
ASIAN          ;KELLY                         
ASIAN          ;PAL                           
ASIAN          ;THAN                          
ASIAN          ;VARUGHESE                     
ASIAN          ;EDWARDS                       
ASIAN          ;BRIONES                       
ASIAN          ;CHE                           
ASIAN          ;CARLOS                        
ASIAN          ;ROBLES                        
ASIAN          ;WOOD                          
ASIAN          ;HIRATA                        
ASIAN          ;MAC                           
ASIAN          ;HAMADA                        
ASIAN          ;AGGARWAL                      
ASIAN          ;SOM                           
ASIAN          ;NOH                           
ASIAN          ;PATIL                         
ASIAN          ;SAETEURN                      
ASIAN          ;SEBASTIAN                     
ASIAN          ;NICOLAS                       
ASIAN          ;THOR                          
ASIAN          ;CHERIAN                       
ASIAN          ;INOUE                         
ASIAN          ;ROGERS                        
ASIAN          ;SOOHOO                        
ASIAN          ;CHAWLA                        
ASIAN          ;LAKHANI                       
ASIAN          ;CHUI                          
ASIAN          ;DY                            
ASIAN          ;CARINO                        
ASIAN          ;AUSTRIA                       
ASIAN          ;QU                            
ASIAN          ;ODA                           
ASIAN          ;MOMIN                         
ASIAN          ;BELTRAN                       
ASIAN          ;MACH                          
ASIAN          ;ANWAR                         
ASIAN          ;KONDO                         
ASIAN          ;ROQUE                         
ASIAN          ;JUAN                          
ASIAN          ;MIGUEL                        
ASIAN          ;TAMAYO                        
ASIAN          ;NOMURA                        
ASIAN          ;DOI                           
ASIAN          ;KAWAMOTO                      
ASIAN          ;TAKEUCHI                      
ASIAN          ;MEAS                          
ASIAN          ;PAEK                          
ASIAN          ;STEWART                       
ASIAN          ;PERERA                        
ASIAN          ;RAJAN                         
ASIAN          ;QIN                           
ASIAN          ;JAN                           
ASIAN          ;CHEEMA                        
ASIAN          ;PRAKASH                       
ASIAN          ;COLLINS                       
ASIAN          ;NO                            
ASIAN          ;MATEO                         
ASIAN          ;GIN                           
ASIAN          ;YOUN                          
ASIAN          ;TSO                           
ASIAN          ;NAGATA                        
ASIAN          ;MORGAN                        
ASIAN          ;SALES                         
ASIAN          ;YAM                           
ASIAN          ;CHEONG                        
ASIAN          ;KURIAN                        
ASIAN          ;DALAL                         
ASIAN          ;RANDHAWA                      
ASIAN          ;CORDERO                       
ASIAN          ;GOEL                          
ASIAN          ;MATHAI                        
ASIAN          ;JEW                           
ASIAN          ;PATHAK                        
ASIAN          ;HARA                          
ASIAN          ;WATSON                        
ASIAN          ;SHENG                         
ASIAN          ;CHAUDHARY                     
ASIAN          ;HAO                           
ASIAN          ;UM                            
ASIAN          ;MUKHERJEE                     
ASIAN          ;VORA                          
ASIAN          ;KUE                           
ASIAN          ;KOTHARI                       
ASIAN          ;HSIA                          
ASIAN          ;AUYEUNG                       
ASIAN          ;ASHRAF                        
ASIAN          ;RAJ                           
ASIAN          ;RAJA                          
ASIAN          ;CUNANAN                       
ASIAN          ;TAT                           
ASIAN          ;VILLEGAS                      
ASIAN          ;TURNER                        
ASIAN          ;KAWAMURA                      
ASIAN          ;VASQUEZ                       
ASIAN          ;SAXENA                        
ASIAN          ;SULTANA                       
ASIAN          ;SHIMABUKURO                   
ASIAN          ;BHAT                          
ASIAN          ;KUBOTA                        
ASIAN          ;YOKOYAMA                      
ASIAN          ;BARTOLOME                     
ASIAN          ;CHAVEZ                        
ASIAN          ;QUON                          
ASIAN          ;PILLAI                        
ASIAN          ;KHALID                        
ASIAN          ;LIOU                          
ASIAN          ;ATIENZA                       
ASIAN          ;ESGUERRA                      
ASIAN          ;SHANKAR                       
ASIAN          ;SAEED                         
ASIAN          ;ZAMORA                        
ASIAN          ;LOK                           
ASIAN          ;BELL                          
ASIAN          ;KINOSHITA                     
ASIAN          ;CRISOSTOMO                    
ASIAN          ;SAHA                          
ASIAN          ;ISHIDA                        
ASIAN          ;GAMBOA                        
ASIAN          ;GUEVARRA                      
ASIAN          ;COOPER                        
ASIAN          ;MIURA                         
ASIAN          ;MORIMOTO                      
ASIAN          ;CHIA                          
ASIAN          ;TUAZON                        
ASIAN          ;REED                          
ASIAN          ;MENDIOLA                      
ASIAN          ;YOSHIOKA                      
ASIAN          ;OGATA                         
ASIAN          ;CANLAS                        
ASIAN          ;BALLESTEROS                   
ASIAN          ;BAILEY                        
ASIAN          ;NISHIMOTO                     
ASIAN          ;BALTAZAR                      
ASIAN          ;SHRESTHA                      
ASIAN          ;JEN                           
ASIAN          ;JUE                           
ASIAN          ;ASLAM                         
ASIAN          ;YEO                           
ASIAN          ;VILORIA                       
ASIAN          ;RAMAN                         
ASIAN          ;BAJWA                         
ASIAN          ;CAMPOS                        
ASIAN          ;CHATTERJEE                    
ASIAN          ;PADUA                         
ASIAN          ;UYEDA                         
ASIAN          ;PHUONG                        
ASIAN          ;PETERS                        
ASIAN          ;QI                            
ASIAN          ;ESPINOSA                      
ASIAN          ;SALEEM                        
ASIAN          ;RAMACHANDRAN                  
ASIAN          ;GRAY                          
ASIAN          ;VARGAS                        
ASIAN          ;HUEY                          
ASIAN          ;TANIGUCHI                     
ASIAN          ;DESILVA                       
ASIAN          ;OUYANG                        
ASIAN          ;MUNOZ                         
ASIAN          ;HAQ                           
ASIAN          ;PENA                          
ASIAN          ;VALENZUELA                    
ASIAN          ;SOOD                          
ASIAN          ;ABBAS                         
ASIAN          ;SARKAR                        
ASIAN          ;AHUJA                         
ASIAN          ;THONG                         
ASIAN          ;OKAMURA                       
ASIAN          ;ORTEGA                        
ASIAN          ;MURTHY                        
ASIAN          ;RODRIGUES                     
ASIAN          ;KHATRI                        
